,clue_text
215,अपराधी\xa0के\xa0पासकोईसमकोणनहींहैं]
216,[अपराधी\xa0के\xa0पासकमसेकम1न्यूनकोणहैं
217,अपराधी\xa0के\xa0पासकोईप्रतिवर्तीकोणनहींहैं]
218,अपराधी\xa0के\xa0पास2सेअधिकसमानांतरभुजाओंकीजोड़ीहैं
219,[अपराधी\xa0के\xa0पास4सेकमभुजाएँहैं
220,[अपराधी\xa0के\xa0पासकमसेकम1वक्रभुजाएँहैं
221,अपराधी\xa0के\xa0पास5सेकमन्यूनकोणहैं]
222,अपराधी\xa0के\xa0पासकेवल3समानभुजाओंकीजोड़ीहैं
223,अपराधी\xa0के\xa0पासकेवल7भुजाएँहैं
224,अपराधी\xa0के\xa0पास1सेअधिकभुजाएँहैं
225,[अपराधी\xa0के\xa0पासकमसेकम2भुजाएँहैं
226,[अपराधी\xa0के\xa0पास3सेकमसमानभुजाओंकीजोड़ीहैं]
227,[अपराधी\xa0के\xa0पास5सेअधिकभुजाएँहैं]
228,[अपराधी\xa0के\xa0पासकेवल5भुजाएँहैं]
229,[अपराधी\xa0के\xa0पासकोईसमकोणनहींहैं]
230,[अपराधी\xa0के\xa0पास2सेकमसमकोणहैं]
231,[अपराधी\xa0के\xa0पाससबसमकोणहैं
232,अपराधी\xa0के\xa0पासकमसेकम4अधिककोणहैं
233,[अपराधी\xa0के\xa0पासकमसेकम6भुजाएँहैं
234,अपराधी\xa0के\xa0पास2सेअधिकअधिककोणहैं
235,[अपराधी\xa0के\xa0पास6सेअधिकभुजाएँहैं
236,[अपराधी\xa0के\xa0पासकमसेकम4अधिककोणहैं
237,[अपराधी\xa0के\xa0पास1सेअधिकभुजाएँहैं
238,अपराधी\xa0के\xa0पासकेवल7भुजाएँहैं]
239,[अपराधी\xa0के\xa0पास5सेकमभुजाएँहैं]
240,[अपराधी\xa0के\xa0पास4सेकमअधिककोणहैं]
241,[अपराधी\xa0के\xa0पासकमसेकम3भुजाएँहैं]
242,अपराधी\xa0के\xa0पास3सेकमसमानांतरभुजाओंकीजोड़ीहैं]
243,अपराधी\xa0के\xa0पासकेवल3समकोणहैं
244,[अपराधी\xa0के\xa0पासकमसेकम1भुजाएँहैं
245,अपराधी\xa0के\xa0पासकेवल8भुजाएँहैं
246,[अपराधी\xa0के\xa0पासकेवल10भुजाएँहैं
247,[अपराधी\xa0के\xa0पास3सेकमप्रतिवर्तीकोणहैं
248,[अपराधी\xa0के\xa0पासकमसेकम3समकोणहैं
249,अपराधी\xa0के\xa0पासकमसेकम2भुजाएँहैं
250,अपराधी\xa0के\xa0पासकेवल2अधिककोणहैं
251,अपराधी\xa0के\xa0पासकेवल3समानभुजाओंकीजोड़ीहैं]
252,अपराधी\xa0के\xa0पास2सेकमप्रतिवर्तीकोणहैं]
253,अपराधी\xa0के\xa0पास1सेअधिकसमानांतरभुजाओंकीजोड़ीहैं]
254,[अपराधी\xa0के\xa0पास6सेअधिकअधिककोणहैं
255,अपराधी\xa0के\xa0पासकेवल2समानांतरभुजाओंकीजोड़ीहैं]
256,[अपराधी\xa0के\xa0पास1सेअधिकसमानांतरभुजाओंकीजोड़ीहैं
257,[अपराधी\xa0के\xa0पासकेवल4समानांतरभुजाओंकीजोड़ीहैं
258,अपराधी\xa0के\xa0पास2सेअधिकअधिककोणहैं]
259,[अपराधी\xa0के\xa0पास2सेअधिकअधिककोणहैं
260,[अपराधी\xa0के\xa0पाससबसमकोणहैं]
261,अपराधी\xa0के\xa0पासकेवल4समानभुजाओंकीजोड़ीहैं
262,अपराधी\xa0के\xa0पास3सेअधिकसमानभुजाओंकीजोड़ीहैं]
263,[अपराधी\xa0के\xa0पासकेवल4अधिककोणहैं
264,[अपराधी\xa0के\xa0पासकमसेकम3अधिककोणहैं
265,[अपराधी\xa0के\xa0पासकमसेकम1प्रतिवर्तीकोणहैं
266,Theculprithasmorethan2equalpairsofsides]
267,[Theculprithasexactly8straightsides
268,Theculprithasmorethan1equalpairsofsides]
269,Theculprithasexactly5straightsides
270,[Theculprithaslessthan2rightangles
271,अपराधी\xa0के\xa0पासकेवल1समकोणहैं]
272,[अपराधी\xa0के\xa0पास2सेकमभुजाएँहैं
273,[अपराधी\xa0के\xa0पास2सेअधिकसमानांतरभुजाओंकीजोड़ीहैं
274,[अपराधी\xa0के\xa0पासकेवल2समानांतरभुजाओंकीजोड़ीहैं
275,[अपराधी\xa0के\xa0पासकेवल2न्यूनकोणहैं
276,अपराधी\xa0के\xa0पासकेवल2समानांतरभुजाओंकीजोड़ीहैं
277,अपराधी\xa0के\xa0पासकेवल2समकोणहैं]
278,अपराधी\xa0के\xa0पासकोईन्यूनकोणनहींहैं]
279,[अपराधी\xa0के\xa0पास3सेकमअधिककोणहैं]
280,[अपराधी\xa0के\xa0पासकमसेकम2अधिककोणहैं]
281,अपराधी\xa0के\xa0पासकेवल1प्रतिवर्तीकोणहैं
282,[अपराधी\xa0के\xa0पासकेवल3भुजाएँहैं]
283,[अपराधी\xa0के\xa0पासकेवल3समानभुजाओंकीजोड़ीहैं]
284,[अपराधी\xa0के\xa0पास5सेकमन्यूनकोणहैं
285,अपराधी\xa0के\xa0पास2सेअधिकन्यूनकोणहैं
286,[अपराधी\xa0के\xa0पासकेवल1न्यूनकोणहैं
287,अपराधी\xa0के\xa0पास3सेअधिकसमानभुजाओंकीजोड़ीहैं
288,[अपराधी\xa0के\xa0पासकेवल4भुजाएँहैं]
289,[अपराधी\xa0के\xa0पासकमसेकम3प्रतिवर्तीकोणहैं
290,[अपराधी\xa0के\xa0पास5सेकमप्रतिवर्तीकोणहैं
291,अपराधी\xa0के\xa0पास1सेअधिकप्रतिवर्तीकोणहैं
292,अपराधी\xa0के\xa0पासकेवल10भुजाएँहैं
293,अपराधी\xa0के\xa0पासकमसेकम6अधिककोणहैं
294,[अपराधी\xa0के\xa0पास5सेअधिकअधिककोणहैं
295,अपराधी\xa0के\xa0पासकेवल1समानांतरभुजाओंकीजोड़ीहैं
296,अपराधी\xa0के\xa0पासकेवल4समानांतरभुजाओंकीजोड़ीहैं
297,[अपराधी\xa0के\xa0पासकोईभुजाएँनहींहैं
298,अपराधी\xa0के\xa0पास2सेअधिकसमकोणहैं
299,[अपराधी\xa0के\xa0पासकमसेकम5अधिककोणहैं
300,अपराधी\xa0के\xa0पास2सेअधिकन्यूनकोणहैं]
301,अपराधी\xa0के\xa0पासकमसेकम3न्यूनकोणहैं
302,[अपराधी\xa0के\xa0पासकमसेकम2प्रतिवर्तीकोणहैं
303,[अपराधी\xa0के\xa0पासकेवल3अधिककोणहैं
304,अपराधी\xa0के\xa0पास4सेकमसमानांतरभुजाओंकीजोड़ीहैं]
305,[अपराधी\xa0के\xa0पास2सेअधिकन्यूनकोणहैं
306,अपराधी\xa0के\xa0पास3सेकमप्रतिवर्तीकोणहैं]
307,[अपराधी\xa0के\xa0पास2सेकमसमानांतरभुजाओंकीजोड़ीहैं
308,अपराधी\xa0के\xa0पासकमसेकम4समकोणहैं]
309,अपराधी\xa0के\xa0पास3सेअधिकसमकोणहैं
310,अपराधी\xa0के\xa0पाससबसमकोणहैं]
311,अपराधी\xa0के\xa0पास3सेअधिकअधिककोणहैं
312,अपराधी\xa0के\xa0पास3सेअधिकअधिककोणहैं]
313,अपराधी\xa0के\xa0पासकमसेकम5अधिककोणहैं
314,[अपराधी\xa0के\xa0पास4सेअधिकअधिककोणहैं
315,Theculprithasexactly4straightsides]
316,Theculprithasexactly2equalpairsofsides
317,[Theculprithaslessthan5straightsides
318,अपराधी\xa0के\xa0पासकमसेकम2प्रतिवर्तीकोणहैं]
319,[अपराधी\xa0के\xa0पास3सेकमभुजाएँहैं
320,[अपराधी\xa0के\xa0पासकेवल2भुजाएँहैं
321,[अपराधी\xa0के\xa0पासकेवल5अधिककोणहैं
322,अपराधी\xa0के\xa0पास3सेकमभुजाएँहैं]
323,अपराधी\xa0के\xa0पासकेवल1समानांतरभुजाओंकीजोड़ीहैं]
324,अपराधी\xa0के\xa0पास2सेकमसमानांतरभुजाओंकीजोड़ीहैं]
325,अपराधी\xa0के\xa0पासकेवल2भुजाएँहैं
326,अपराधी\xa0के\xa0पास3सेकमभुजाएँहैं
327,अपराधी\xa0के\xa0पास2सेअधिकप्रतिवर्तीकोणहैं
328,अपराधी\xa0के\xa0पासकमसेकम3प्रतिवर्तीकोणहैं
329,अपराधी\xa0के\xa0पासकमसेकम2प्रतिवर्तीकोणहैं
330,अपराधी\xa0के\xa0पासकेवल3न्यूनकोणहैं]
331,अपराधी\xa0के\xa0पासकेवल4अधिककोणहैं
332,[अपराधी\xa0के\xa0पास4सेकमन्यूनकोणहैं
333,अपराधी\xa0के\xa0पासकेवल1भुजाएँहैं
334,अपराधी\xa0के\xa0पासकेवल3समानांतरभुजाओंकीजोड़ीहैं
335,अपराधी\xa0के\xa0पासकमसेकम4समकोणहैं
336,[अपराधी\xa0के\xa0पासकमसेकम6भुजाएँहैं]
337,[अपराधी\xa0के\xa0पासकमसेकम1वक्रभुजाएँहैं]
338,[अपराधी\xa0के\xa0पास2सेअधिकसमानभुजाओंकीजोड़ीहैं]
339,[अपराधी\xa0के\xa0पास1सेअधिकसमकोणहैं]
340,[अपराधी\xa0के\xa0पास4सेकमभुजाएँहैं]
341,[अपराधी\xa0के\xa0पासकमसेकम1समकोणहैं]
342,[अपराधी\xa0के\xa0पास4सेकमसमकोणहैं]
343,[अपराधी\xa0के\xa0पास4सेकमसमानभुजाओंकीजोड़ीहैं]
344,[अपराधी\xa0के\xa0पास3सेकमसमकोणहैं]
345,[अपराधी\xa0के\xa0पास2सेअधिकसमकोणहैं]
346,[अपराधी\xa0के\xa0पास1सेअधिकभुजाएँहैं]
347,अपराधी\xa0के\xa0पास3सेअधिकसमकोणहैं]
348,[अपराधी\xa0के\xa0पासकोईसमानभुजाओंकीजोड़ीनहींहैं]
349,अपराधी\xa0के\xa0पासकेवल1प्रतिवर्तीकोणहैं]
350,अपराधी\xa0के\xa0पासकेवल3न्यूनकोणहैं
351,[अपराधी\xa0के\xa0पासकमसेकम1भुजाएँहैं]
352,अपराधी\xa0के\xa0पासकेवल4समानांतरभुजाओंकीजोड़ीहैं]
353,[Theculprithasexactly5straightsides]
354,[अपराधी\xa0के\xa0पासकोईसमानभुजाएँनहींहैं]
355,[अपराधी\xa0के\xa0पास1सेअधिकसमानांतरभुजाओंकीजोड़ीहैं]
356,[अपराधी\xa0के\xa0पास2सेकमसमानांतरभुजाओंकीजोड़ीहैं]
357,Theculprithasatleast4straightsides]
358,Theculprithaslessthan4equalpairsofsides
359,[Theculprithasatleast6straightsides
360,Theculprithaslessthan3equalpairsofsides]
361,Theculprithaslessthan2rightangles
362,[Theculprithasnoequalstraightsides
363,Theculprithasmorethan4straightsides]
364,[Theculprithasexactly3equalpairsofsides
365,Theculprithaslessthan4rightangles
366,Theculprithasmorethan1rightangle]
367,Theculprithaslessthan5straightsides
368,[Theculprithasnocurvedsides
369,Theculprithaslessthan6obtuseangles
370,Theculprithasnocurvedsides
371,Theculprithaslessthan3equalpairsofsides
372,[Theculprithasnorightangle
373,Theculprithasatleast1acuteangle]
374,Theculprithaslessthan3obtuseangles
375,Theculprithasmorethan4straightsides
376,Theculprithasmorethan3straightsides]
377,Theculprithasatleast1acuteangle
378,Theculprithasatleast1obtuseangle
379,Theculprithasmorethan1equalpairsofsides
380,Theculprithaslessthan3rightangles]
381,[Theculprithaslessthan6straightsides
382,Theculprithaslessthan6straightsides
383,[Theculprithasexactly1equalpairsofsides
384,Theculprithaslessthan6straightsides]
385,[Theculprithasexactly1rightangle
386,Theculprithasatleast2obtuseangles
387,Theculprithasmorethan2obtuseangles
388,Theculprithaslessthan5straightsides]
389,[Theculprithasmorethan3straightsides
390,Theculprithasnorightangle]
391,Theculprithasatleast6straightsides
392,[Theculprithasexactly6straightsides
393,Theculprithasatleast5straightsides]
394,Theculprithaslessthan3rightangles
395,[Theculprithasexactly2rightangles
396,[अपराधी\xa0के\xa0पास1सेअधिकप्रतिवर्तीकोणहैं
397,[अपराधी\xa0के\xa0पासकमसेकम1अधिककोणहैं]
398,[अपराधी\xa0के\xa0पास2सेअधिकभुजाएँहैं]
399,[अपराधी\xa0के\xa0पास3सेकमन्यूनकोणहैं]
400,[अपराधी\xa0के\xa0पासकोईन्यूनकोणनहींहैं]
401,[अपराधी\xa0के\xa0पास5सेकमन्यूनकोणहैं]
402,[अपराधी\xa0के\xa0पास2सेकमप्रतिवर्तीकोणहैं]
403,[अपराधी\xa0के\xa0पास3सेअधिकसमानभुजाओंकीजोड़ीहैं]
404,[अपराधी\xa0के\xa0पास2सेकमअधिककोणहैं]
405,[अपराधी\xa0के\xa0पास4सेकमप्रतिवर्तीकोणहैं]
406,[अपराधी\xa0के\xa0पासकेवल1प्रतिवर्तीकोणहैं]
407,[अपराधी\xa0के\xa0पास5सेकमअधिककोणहैं]
408,[अपराधी\xa0के\xa0पास1सेअधिकन्यूनकोणहैं]
409,[अपराधी\xa0के\xa0पासकमसेकम1न्यूनकोणहैं]
410,[अपराधी\xa0के\xa0पास3सेकमसमानांतरभुजाओंकीजोड़ीहैं]
411,[अपराधी\xa0के\xa0पासकोईप्रतिवर्तीकोणनहींहैं]
412,[अपराधी\xa0के\xa0पासकमसेकम1प्रतिवर्तीकोणहैं]
413,[Theculprithasmorethan1equalpairsofsides
414,[अपराधी\xa0के\xa0पासकमसेकम3अधिककोणहैं]
415,[अपराधी\xa0के\xa0पासकेवल1समानभुजाओंकीजोड़ीहैं]
416,अपराधी\xa0के\xa0पासकेवल4समकोणहैं]
417,[अपराधी\xa0के\xa0पास3सेअधिकसमकोणहैं
418,अपराधी\xa0के\xa0पासकोईभुजाएँनहींहैं
419,अपराधी\xa0के\xa0पासकेवल2प्रतिवर्तीकोणहैं]
420,[अपराधी\xa0के\xa0पास2सेकमन्यूनकोणहैं]
421,[अपराधी\xa0के\xa0पासकेवल8भुजाएँहैं]
422,[अपराधी\xa0के\xa0पासकेवल5न्यूनकोणहैं]
423,[अपराधी\xa0के\xa0पास3सेकमसमानांतरभुजाओंकीजोड़ीहैं
424,[अपराधी\xa0के\xa0पासकेवल4समकोणहैं]
425,[अपराधी\xa0के\xa0पासकेवल10भुजाएँहैं]
