,school_code,level_1,module_name,duration_weeks,event
0,1011001.0,0,Atomic_Structure,23.0,1
1,1011001.0,1,Basic_Astronomy,22.0,1
2,1011001.0,2,Ecosystem,11.0,1
3,1011001.0,3,English_Beginner,23.0,1
4,1011001.0,4,English_Elementary,22.0,1
5,1011001.0,5,Geometric_Reasoning_Part_I,21.0,1
6,1011001.0,6,Geometric_Reasoning_Part_II,0.0,1
7,1011001.0,7,Health_and_Disease,19.0,1
8,1011001.0,8,Linear_Equations,21.0,1
11,1011001.0,11,Proportional_Reasoning,6.0,1
12,1011001.0,12,Reflecting_on_Values,8.0,1
13,1011001.0,13,Sound,23.0,1
14,1011001.0,14,Understanding_Motion,23.0,1
15,1011003.0,0,Geometric_Reasoning_Part_I,18.0,1
16,1011003.0,1,Geometric_Reasoning_Part_II,8.0,1
17,1011003.0,2,Health_and_Disease,0.0,1
18,1011004.0,0,Atomic_Structure,0.0,1
19,1011004.0,1,Basic_Astronomy,11.0,1
20,1011004.0,2,English_Beginner,21.0,1
21,1011004.0,3,English_Elementary,22.0,1
22,1011004.0,4,Geometric_Reasoning_Part_I,4.0,1
23,1011004.0,5,Geometric_Reasoning_Part_II,0.0,1
24,1011004.0,6,Health_and_Disease,0.0,1
25,1011004.0,7,Linear_Equations,0.0,1
28,1011004.0,10,Sound,0.0,1
29,1011004.0,11,Understanding_Motion,18.0,1
30,1011005.0,0,Atomic_Structure,0.0,1
31,1011005.0,1,Basic_Astronomy,16.0,1
32,1011005.0,2,Ecosystem,0.0,1
33,1011005.0,3,English_Beginner,21.0,1
34,1011005.0,4,English_Elementary,21.0,1
35,1011005.0,5,Geometric_Reasoning_Part_I,3.0,1
36,1011005.0,6,Geometric_Reasoning_Part_II,0.0,1
37,1011005.0,7,Health_and_Disease,0.0,1
38,1011005.0,8,Linear_Equations,0.0,1
41,1011005.0,11,Sound,6.0,1
42,1011005.0,12,Understanding_Motion,16.0,1
43,1011006.0,0,Atomic_Structure,10.0,1
44,1011006.0,1,Basic_Astronomy,17.0,1
45,1011006.0,2,Ecosystem,1.0,1
46,1011006.0,3,English_Beginner,16.0,1
47,1011006.0,4,English_Elementary,17.0,1
48,1011006.0,5,Geometric_Reasoning_Part_I,11.0,1
49,1011006.0,6,Geometric_Reasoning_Part_II,0.0,1
50,1011006.0,7,Health_and_Disease,10.0,1
52,1011006.0,9,Proportional_Reasoning,7.0,1
53,1011006.0,10,Reflecting_on_Values,0.0,1
54,1011006.0,11,Sound,10.0,1
55,1011006.0,12,Understanding_Motion,16.0,1
56,1011007.0,0,Atomic_Structure,18.0,1
57,1011007.0,1,Basic_Astronomy,17.0,1
58,1011007.0,2,English_Beginner,18.0,1
59,1011007.0,3,English_Elementary,18.0,1
60,1011007.0,4,Geometric_Reasoning_Part_I,0.0,1
61,1011007.0,5,Geometric_Reasoning_Part_II,0.0,1
62,1011007.0,6,Linear_Equations,18.0,1
65,1011007.0,9,Reflecting_on_Values,0.0,1
66,1011007.0,10,Sound,0.0,1
67,1011007.0,11,Understanding_Motion,18.0,1
68,1011008.0,0,Atomic_Structure,0.0,1
69,1011008.0,1,Basic_Astronomy,11.0,1
70,1011008.0,2,English_Beginner,11.0,1
71,1011008.0,3,English_Elementary,11.0,1
72,1011008.0,4,Geometric_Reasoning_Part_I,0.0,1
73,1011008.0,5,Geometric_Reasoning_Part_II,0.0,1
74,1011008.0,6,Linear_Equations,0.0,1
77,1011008.0,9,Sound,0.0,1
78,1011008.0,10,Understanding_Motion,0.0,1
79,1011009.0,0,Atomic_Structure,0.0,1
80,1011009.0,1,Basic_Astronomy,17.0,1
81,1011009.0,2,Ecosystem,0.0,1
82,1011009.0,3,English_Beginner,21.0,1
83,1011009.0,4,English_Elementary,17.0,1
84,1011009.0,5,Geometric_Reasoning_Part_I,21.0,1
85,1011009.0,6,Geometric_Reasoning_Part_II,17.0,1
86,1011009.0,7,Health_and_Disease,6.0,1
87,1011009.0,8,Linear_Equations,0.0,1
90,1011009.0,11,Proportional_Reasoning,9.0,1
91,1011009.0,12,Reflecting_on_Values,0.0,1
92,1011009.0,13,Sound,17.0,1
93,1011009.0,14,Understanding_Motion,11.0,1
94,1011010.0,0,Atomic_Structure,11.0,1
95,1011010.0,1,Basic_Astronomy,11.0,1
96,1011010.0,2,Ecosystem,0.0,1
97,1011010.0,3,English_Beginner,11.0,1
98,1011010.0,4,English_Elementary,11.0,1
99,1011010.0,5,Geometric_Reasoning_Part_I,4.0,1
100,1011010.0,6,Geometric_Reasoning_Part_II,11.0,1
101,1011010.0,7,Linear_Equations,0.0,1
104,1011010.0,10,Proportional_Reasoning,0.0,1
105,1011010.0,11,Reflecting_on_Values,0.0,1
106,1011010.0,12,Sound,11.0,1
107,1011010.0,13,Understanding_Motion,11.0,1
108,1011011.0,0,Atomic_Structure,0.0,1
109,1011011.0,1,Basic_Astronomy,0.0,1
110,1011011.0,2,English_Beginner,17.0,1
111,1011011.0,3,English_Elementary,14.0,1
112,1011011.0,4,Geometric_Reasoning_Part_I,12.0,1
113,1011011.0,5,Geometric_Reasoning_Part_II,7.0,1
114,1011011.0,6,Linear_Equations,0.0,1
117,1011011.0,9,Proportional_Reasoning,13.0,1
118,1011011.0,10,Sound,0.0,1
119,1011011.0,11,Understanding_Motion,0.0,1
120,1011013.0,0,Atomic_Structure,13.0,1
121,1011013.0,1,Basic_Astronomy,13.0,1
122,1011013.0,2,English_Beginner,0.0,1
123,1011013.0,3,English_Elementary,0.0,1
124,1011013.0,4,Geometric_Reasoning_Part_I,13.0,1
125,1011013.0,5,Geometric_Reasoning_Part_II,13.0,1
126,1011013.0,6,Linear_Equations,13.0,1
129,1011013.0,9,Reflecting_on_Values,0.0,1
130,1011013.0,10,Sound,0.0,1
131,1011013.0,11,Understanding_Motion,13.0,1
132,1011014.0,0,Atomic_Structure,11.0,1
133,1011014.0,1,Basic_Astronomy,9.0,1
134,1011014.0,2,Ecosystem,0.0,1
135,1011014.0,3,English_Beginner,13.0,1
136,1011014.0,4,English_Elementary,13.0,1
137,1011014.0,5,Geometric_Reasoning_Part_I,13.0,1
138,1011014.0,6,Geometric_Reasoning_Part_II,10.0,1
139,1011014.0,7,Health_and_Disease,9.0,1
140,1011014.0,8,Linear_Equations,8.0,1
143,1011014.0,11,Sound,16.0,1
144,1011014.0,12,Understanding_Motion,6.0,1
145,1011016.0,0,Atomic_Structure,6.0,1
146,1011016.0,1,Basic_Astronomy,8.0,1
147,1011016.0,2,Ecosystem,0.0,1
148,1011016.0,3,English_Beginner,8.0,1
149,1011016.0,4,English_Elementary,6.0,1
150,1011016.0,5,Geometric_Reasoning_Part_I,8.0,1
151,1011016.0,6,Geometric_Reasoning_Part_II,8.0,1
152,1011016.0,7,Health_and_Disease,0.0,1
153,1011016.0,8,Linear_Equations,8.0,1
156,1011016.0,11,Proportional_Reasoning,1.0,1
157,1011016.0,12,Reflecting_on_Values,1.0,1
158,1011016.0,13,Sound,6.0,1
159,1011016.0,14,Understanding_Motion,7.0,1
160,1011017.0,0,Atomic_Structure,15.0,1
161,1011017.0,1,Basic_Astronomy,13.0,1
162,1011017.0,2,Ecosystem,2.0,1
163,1011017.0,3,English_Beginner,0.0,1
164,1011017.0,4,English_Elementary,13.0,1
165,1011017.0,5,Geometric_Reasoning_Part_I,0.0,1
166,1011017.0,6,Geometric_Reasoning_Part_II,0.0,1
167,1011017.0,7,Health_and_Disease,6.0,1
168,1011017.0,8,Linear_Equations,0.0,1
171,1011017.0,11,Proportional_Reasoning,0.0,1
172,1011017.0,12,Sound,15.0,1
173,1011017.0,13,Understanding_Motion,0.0,1
174,1011018.0,0,Atomic_Structure,13.0,1
175,1011018.0,1,Basic_Astronomy,2.0,1
176,1011018.0,2,Ecosystem,13.0,1
177,1011018.0,3,English_Beginner,13.0,1
178,1011018.0,4,English_Elementary,19.0,1
179,1011018.0,5,Geometric_Reasoning_Part_I,14.0,1
180,1011018.0,6,Geometric_Reasoning_Part_II,5.0,1
181,1011018.0,7,Health_and_Disease,13.0,1
182,1011018.0,8,Linear_Equations,0.0,1
185,1011018.0,11,Proportional_Reasoning,19.0,1
186,1011018.0,12,Sound,12.0,1
187,1011018.0,13,Understanding_Motion,18.0,1
188,1011019.0,0,Atomic_Structure,0.0,1
189,1011019.0,1,Basic_Astronomy,0.0,1
190,1011019.0,2,English_Beginner,2.0,1
191,1011019.0,3,English_Elementary,5.0,1
192,1011019.0,4,Geometric_Reasoning_Part_I,9.0,1
193,1011019.0,5,Geometric_Reasoning_Part_II,8.0,1
194,1011019.0,6,Linear_Equations,0.0,1
197,1011019.0,9,Sound,19.0,1
198,1011019.0,10,Understanding_Motion,0.0,1
199,1011020.0,0,Atomic_Structure,1.0,1
200,1011020.0,1,Basic_Astronomy,2.0,1
201,1011020.0,2,Ecosystem,0.0,1
202,1011020.0,3,English_Beginner,9.0,1
203,1011020.0,4,English_Elementary,4.0,1
204,1011020.0,5,Geometric_Reasoning_Part_I,11.0,1
205,1011020.0,6,Geometric_Reasoning_Part_II,5.0,1
206,1011020.0,7,Health_and_Disease,0.0,1
208,1011020.0,9,Proportional_Reasoning,1.0,1
209,1011020.0,10,Reflecting_on_Values,0.0,1
210,1011020.0,11,Sound,1.0,1
211,1011020.0,12,Understanding_Motion,1.0,1
212,1011022.0,0,Atomic_Structure,17.0,1
213,1011022.0,1,Basic_Astronomy,17.0,1
214,1011022.0,2,Ecosystem,1.0,1
215,1011022.0,3,English_Beginner,21.0,1
216,1011022.0,4,English_Elementary,0.0,1
217,1011022.0,5,Geometric_Reasoning_Part_I,12.0,1
218,1011022.0,6,Geometric_Reasoning_Part_II,17.0,1
219,1011022.0,7,Health_and_Disease,4.0,1
220,1011022.0,8,Linear_Equations,17.0,1
223,1011022.0,11,Proportional_Reasoning,0.0,1
224,1011022.0,12,Reflecting_on_Values,1.0,1
225,1011022.0,13,Sound,17.0,1
226,1011022.0,14,Understanding_Motion,17.0,1
227,1011024.0,0,Atomic_Structure,0.0,1
228,1011024.0,1,Basic_Astronomy,0.0,1
229,1011024.0,2,English_Beginner,0.0,1
230,1011024.0,3,English_Elementary,0.0,1
231,1011024.0,4,Geometric_Reasoning_Part_I,11.0,1
232,1011024.0,5,Geometric_Reasoning_Part_II,7.0,1
233,1011024.0,6,Linear_Equations,0.0,1
236,1011024.0,9,Proportional_Reasoning,0.0,1
237,1011024.0,10,Sound,0.0,1
238,1011024.0,11,Understanding_Motion,0.0,1
239,1011026.0,0,Atomic_Structure,0.0,1
240,1011026.0,1,Basic_Astronomy,0.0,1
241,1011026.0,2,English_Beginner,0.0,1
242,1011026.0,3,English_Elementary,0.0,1
243,1011026.0,4,Geometric_Reasoning_Part_I,0.0,1
244,1011026.0,5,Geometric_Reasoning_Part_II,0.0,1
245,1011026.0,6,Linear_Equations,0.0,1
248,1011026.0,9,Sound,0.0,1
249,1011026.0,10,Understanding_Motion,0.0,1
250,1011028.0,0,Atomic_Structure,5.0,1
251,1011028.0,1,Basic_Astronomy,10.0,1
252,1011028.0,2,English_Beginner,13.0,1
253,1011028.0,3,English_Elementary,21.0,1
254,1011028.0,4,Geometric_Reasoning_Part_I,13.0,1
255,1011028.0,5,Geometric_Reasoning_Part_II,0.0,1
256,1011028.0,6,Health_and_Disease,5.0,1
257,1011028.0,7,Linear_Equations,0.0,1
260,1011028.0,10,Proportional_Reasoning,1.0,1
261,1011028.0,11,Reflecting_on_Values,0.0,1
262,1011028.0,12,Sound,6.0,1
263,1011028.0,13,Understanding_Motion,6.0,1
264,2031002.0,0,Atomic_Structure,10.0,1
265,2031002.0,1,Basic_Astronomy,0.0,1
266,2031002.0,2,Ecosystem,0.0,1
267,2031002.0,3,English_Beginner,2.0,1
268,2031002.0,4,English_Elementary,2.0,1
269,2031002.0,5,Geometric_Reasoning_Part_I,13.0,1
270,2031002.0,6,Geometric_Reasoning_Part_II,0.0,1
271,2031002.0,7,Linear_Equations,0.0,1
274,2031002.0,10,Proportional_Reasoning,8.0,1
275,2031002.0,11,Sound,0.0,1
276,2031002.0,12,Understanding_Motion,10.0,1
277,2031003.0,0,Atomic_Structure,2.0,1
278,2031003.0,1,Basic_Astronomy,6.0,1
279,2031003.0,2,Ecosystem,1.0,1
280,2031003.0,3,English_Beginner,2.0,1
281,2031003.0,4,English_Elementary,0.0,1
282,2031003.0,5,Geometric_Reasoning_Part_I,5.0,1
283,2031003.0,6,Geometric_Reasoning_Part_II,0.0,1
284,2031003.0,7,Health_and_Disease,0.0,1
285,2031003.0,8,Linear_Equations,0.0,1
288,2031003.0,11,Proportional_Reasoning,2.0,1
289,2031003.0,12,Sound,0.0,1
290,2031003.0,13,Understanding_Motion,0.0,1
291,2031004.0,0,Atomic_Structure,0.0,1
292,2031004.0,1,English_Beginner,14.0,1
293,2031004.0,2,English_Elementary,0.0,1
294,2031004.0,3,Geometric_Reasoning_Part_I,0.0,1
296,2031004.0,5,Proportional_Reasoning,0.0,1
297,2031005.0,0,Atomic_Structure,0.0,1
298,2031005.0,1,Geometric_Reasoning_Part_I,5.0,1
299,2031005.0,2,Geometric_Reasoning_Part_II,0.0,1
301,2031007.0,0,Atomic_Structure,2.0,1
302,2031007.0,1,Basic_Astronomy,1.0,1
303,2031007.0,2,Ecosystem,0.0,1
304,2031007.0,3,English_Beginner,2.0,1
305,2031007.0,4,English_Elementary,2.0,1
306,2031007.0,5,Geometric_Reasoning_Part_I,4.0,1
307,2031007.0,6,Geometric_Reasoning_Part_II,4.0,1
308,2031007.0,7,Linear_Equations,0.0,1
311,2031007.0,10,Proportional_Reasoning,0.0,1
312,2031007.0,11,Sound,0.0,1
313,2031007.0,12,Understanding_Motion,1.0,1
314,2031008.0,0,English_Beginner,8.0,1
315,2031008.0,1,Proportional_Reasoning,2.0,1
316,2031010.0,0,Atomic_Structure,0.0,1
317,2031010.0,1,Basic_Astronomy,0.0,1
318,2031010.0,2,English_Beginner,0.0,1
319,2031010.0,3,English_Elementary,0.0,1
320,2031010.0,4,Geometric_Reasoning_Part_I,0.0,1
321,2031010.0,5,Geometric_Reasoning_Part_II,0.0,1
322,2031010.0,6,Linear_Equations,0.0,1
325,2031010.0,9,Sound,0.0,1
326,2031010.0,10,Understanding_Motion,0.0,1
327,2031012.0,0,Atomic_Structure,0.0,1
328,2031012.0,1,Basic_Astronomy,0.0,1
329,2031012.0,2,English_Beginner,0.0,1
330,2031012.0,3,English_Elementary,0.0,1
331,2031012.0,4,Geometric_Reasoning_Part_I,9.0,1
332,2031012.0,5,Geometric_Reasoning_Part_II,0.0,1
333,2031012.0,6,Linear_Equations,0.0,1
336,2031012.0,9,Sound,0.0,1
337,2031012.0,10,Understanding_Motion,0.0,1
338,2031017.0,0,Atomic_Structure,14.0,1
339,2031017.0,1,Basic_Astronomy,0.0,1
340,2031017.0,2,English_Beginner,14.0,1
341,2031017.0,3,English_Elementary,13.0,1
342,2031017.0,4,Geometric_Reasoning_Part_I,0.0,1
343,2031017.0,5,Geometric_Reasoning_Part_II,0.0,1
344,2031017.0,6,Linear_Equations,8.0,1
347,2031017.0,9,Proportional_Reasoning,0.0,1
348,2031017.0,10,Sound,0.0,1
349,2031017.0,11,Understanding_Motion,0.0,1
350,2031020.0,0,Atomic_Structure,3.0,1
351,2031020.0,1,Basic_Astronomy,4.0,1
352,2031020.0,2,Ecosystem,17.0,1
353,2031020.0,3,English_Beginner,18.0,1
354,2031020.0,4,Geometric_Reasoning_Part_I,17.0,1
355,2031020.0,5,Linear_Equations,0.0,1
356,2031020.0,6,Sound,0.0,1
357,2031020.0,7,Understanding_Motion,0.0,1
358,2031021.0,0,Atomic_Structure,0.0,1
359,2031021.0,1,Basic_Astronomy,10.0,1
360,2031021.0,2,English_Beginner,18.0,1
361,2031021.0,3,English_Elementary,0.0,1
362,2031021.0,4,Geometric_Reasoning_Part_I,8.0,1
363,2031021.0,5,Geometric_Reasoning_Part_II,0.0,1
364,2031021.0,6,Health_and_Disease,0.0,1
365,2031021.0,7,Linear_Equations,0.0,1
367,2031021.0,9,Proportional_Reasoning,0.0,1
368,2031021.0,10,Sound,0.0,1
369,2031022.0,0,Atomic_Structure,0.0,1
370,2031022.0,1,Basic_Astronomy,0.0,1
371,2031022.0,2,English_Beginner,0.0,1
372,2031022.0,3,English_Elementary,0.0,1
373,2031022.0,4,Geometric_Reasoning_Part_I,7.0,1
374,2031022.0,5,Geometric_Reasoning_Part_II,0.0,1
375,2031022.0,6,Linear_Equations,0.0,1
378,2031022.0,9,Sound,10.0,1
379,2031022.0,10,Understanding_Motion,0.0,1
380,2031027.0,0,Atomic_Structure,9.0,1
381,2031027.0,1,Ecosystem,0.0,1
382,2031027.0,2,English_Beginner,10.0,1
383,2031027.0,3,Geometric_Reasoning_Part_I,10.0,1
384,2031027.0,4,Sound,4.0,1
385,2031028.0,0,Atomic_Structure,0.0,1
386,2031028.0,1,English_Beginner,0.0,1
387,2031028.0,2,Geometric_Reasoning_Part_I,0.0,1
388,2031028.0,3,Geometric_Reasoning_Part_II,0.0,1
390,2031028.0,5,Proportional_Reasoning,0.0,1
391,2031029.0,0,Atomic_Structure,19.0,1
392,2031029.0,1,Basic_Astronomy,18.0,1
393,2031029.0,2,Ecosystem,0.0,1
394,2031029.0,3,English_Beginner,18.0,1
395,2031029.0,4,English_Elementary,19.0,1
396,2031029.0,5,Geometric_Reasoning_Part_I,14.0,1
397,2031029.0,6,Geometric_Reasoning_Part_II,0.0,1
398,2031029.0,7,Health_and_Disease,18.0,1
399,2031029.0,8,Linear_Equations,18.0,1
402,2031029.0,11,Proportional_Reasoning,0.0,1
403,2031029.0,12,Reflecting_on_Values,5.0,1
404,2031029.0,13,Sound,19.0,1
405,2031029.0,14,Understanding_Motion,18.0,1
406,2031030.0,0,Atomic_Structure,0.0,1
407,2031030.0,1,Ecosystem,0.0,1
408,2031030.0,2,English_Beginner,7.0,1
409,2031030.0,3,English_Elementary,8.0,1
410,2031030.0,4,Geometric_Reasoning_Part_I,8.0,1
411,2031030.0,5,Geometric_Reasoning_Part_II,5.0,1
412,2031030.0,6,Health_and_Disease,5.0,1
413,2031030.0,7,Linear_Equations,0.0,1
414,2031030.0,8,Proportional_Reasoning,0.0,1
415,2031030.0,9,Sound,0.0,1
416,2031030.0,10,Understanding_Motion,0.0,1
417,3051001.0,0,Atomic_Structure,12.0,1
418,3051001.0,1,Basic_Astronomy,11.0,1
419,3051001.0,2,Ecosystem,11.0,1
420,3051001.0,3,English_Beginner,10.0,1
421,3051001.0,4,English_Elementary,12.0,1
422,3051001.0,5,Geometric_Reasoning_Part_I,9.0,1
423,3051001.0,6,Geometric_Reasoning_Part_II,9.0,1
424,3051001.0,7,Health_and_Disease,12.0,1
425,3051001.0,8,Linear_Equations,9.0,1
428,3051001.0,11,Proportional_Reasoning,13.0,1
429,3051001.0,12,Reflecting_on_Values,11.0,1
430,3051001.0,13,Sound,11.0,1
431,3051001.0,14,Understanding_Motion,11.0,1
432,3051002.0,0,Atomic_Structure,5.0,1
433,3051002.0,1,Basic_Astronomy,18.0,1
434,3051002.0,2,Ecosystem,5.0,1
435,3051002.0,3,English_Beginner,7.0,1
436,3051002.0,4,English_Elementary,5.0,1
437,3051002.0,5,Geometric_Reasoning_Part_I,8.0,1
438,3051002.0,6,Geometric_Reasoning_Part_II,1.0,1
439,3051002.0,7,Health_and_Disease,0.0,1
441,3051002.0,9,Proportional_Reasoning,1.0,1
442,3051002.0,10,Reflecting_on_Values,0.0,1
443,3051002.0,11,Sound,2.0,1
444,3051002.0,12,Understanding_Motion,4.0,1
445,3051004.0,0,Atomic_Structure,13.0,1
446,3051004.0,1,Basic_Astronomy,13.0,1
447,3051004.0,2,English_Beginner,20.0,1
448,3051004.0,3,English_Elementary,13.0,1
449,3051004.0,4,Geometric_Reasoning_Part_I,13.0,1
450,3051004.0,5,Geometric_Reasoning_Part_II,9.0,1
451,3051004.0,6,Health_and_Disease,3.0,1
452,3051004.0,7,Linear_Equations,13.0,1
455,3051004.0,10,Proportional_Reasoning,0.0,1
456,3051004.0,11,Reflecting_on_Values,0.0,1
457,3051004.0,12,Sound,20.0,1
458,3051004.0,13,Understanding_Motion,20.0,1
459,3051005.0,0,Atomic_Structure,0.0,1
460,3051005.0,1,Basic_Astronomy,0.0,1
461,3051005.0,2,English_Beginner,0.0,1
462,3051005.0,3,English_Elementary,0.0,1
463,3051005.0,4,Geometric_Reasoning_Part_I,0.0,1
464,3051005.0,5,Geometric_Reasoning_Part_II,0.0,1
465,3051005.0,6,Linear_Equations,0.0,1
468,3051005.0,9,Sound,0.0,1
469,3051005.0,10,Understanding_Motion,0.0,1
470,3051006.0,0,Atomic_Structure,19.0,1
471,3051006.0,1,Basic_Astronomy,19.0,1
472,3051006.0,2,Ecosystem,15.0,1
473,3051006.0,3,English_Beginner,19.0,1
474,3051006.0,4,English_Elementary,19.0,1
475,3051006.0,5,Geometric_Reasoning_Part_I,19.0,1
476,3051006.0,6,Geometric_Reasoning_Part_II,19.0,1
477,3051006.0,7,Health_and_Disease,15.0,1
478,3051006.0,8,Linear_Equations,0.0,1
481,3051006.0,11,Proportional_Reasoning,14.0,1
482,3051006.0,12,Reflecting_on_Values,5.0,1
483,3051006.0,13,Sound,0.0,1
484,3051006.0,14,Understanding_Motion,19.0,1
485,3051010.0,0,Atomic_Structure,2.0,1
486,3051010.0,1,Basic_Astronomy,10.0,1
487,3051010.0,2,Ecosystem,16.0,1
488,3051010.0,3,English_Beginner,18.0,1
489,3051010.0,4,English_Elementary,3.0,1
490,3051010.0,5,Geometric_Reasoning_Part_I,14.0,1
491,3051010.0,6,Geometric_Reasoning_Part_II,6.0,1
492,3051010.0,7,Health_and_Disease,0.0,1
493,3051010.0,8,Linear_Equations,6.0,1
496,3051010.0,11,Proportional_Reasoning,3.0,1
497,3051010.0,12,Reflecting_on_Values,0.0,1
498,3051010.0,13,Sound,16.0,1
499,3051010.0,14,Understanding_Motion,2.0,1
500,3051011.0,0,Atomic_Structure,5.0,1
501,3051011.0,1,Basic_Astronomy,7.0,1
502,3051011.0,2,English_Beginner,5.0,1
503,3051011.0,3,English_Elementary,5.0,1
504,3051011.0,4,Geometric_Reasoning_Part_I,5.0,1
505,3051011.0,5,Geometric_Reasoning_Part_II,5.0,1
506,3051011.0,6,Health_and_Disease,0.0,1
507,3051011.0,7,Linear_Equations,5.0,1
510,3051011.0,10,Reflecting_on_Values,2.0,1
511,3051011.0,11,Sound,5.0,1
512,3051011.0,12,Understanding_Motion,0.0,1
513,3051013.0,0,Atomic_Structure,12.0,1
514,3051013.0,1,Basic_Astronomy,0.0,1
515,3051013.0,2,Ecosystem,0.0,1
516,3051013.0,3,English_Beginner,10.0,1
517,3051013.0,4,English_Elementary,1.0,1
518,3051013.0,5,Geometric_Reasoning_Part_I,9.0,1
519,3051013.0,6,Geometric_Reasoning_Part_II,9.0,1
520,3051013.0,7,Health_and_Disease,0.0,1
